ground_x [mm],ground_y [mm],ground_t [mm],height [mm],top_w [mm],base_w [mm],neck_w [mm],shoulder_h [mm],feed_gap [mm],blade_t [mm],separation [mm],Freq [GHz],Phi [deg],Theta [deg],im(rEPhi) (Real) [mV],im(rEPhi) (Imag) [mV],im(rETheta) (Real) [mV],im(rETheta) (Imag) [mV],re(rEPhi) (Real) [mV],re(rEPhi) (Imag) [mV],re(rETheta) (Real) [mV],re(rETheta) (Imag) [mV]
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,57.5,0.8271619204819197,0.0,948.249586134066,0.0,3.4746575715461914,0.0,-62.880687275476966,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,59.99999999999999,-1.1430624629672967,0.0,1036.68165550354,0.0,3.2021479380785753,0.0,68.88024997256653,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,62.50000000000001,-2.786096708387342,0.0,1083.648745303034,0.0,2.4357746879144875,0.0,176.8401222093694,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,65.0,-3.9098310525888453,0.0,1093.256395001498,0.0,1.3568915395821695,0.0,263.4242388431412,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,67.5,-4.441205539834861,0.0,1070.9976110611997,0.0,0.1866410513061828,0.0,331.9272646524412,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,70.0,-4.415255603229778,0.0,1022.9925878450574,0.0,-0.8665524190221569,0.0,385.64712315837653,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,72.5,-3.9445294627275067,0.0,955.4013538424357,0.0,-1.643862442215665,0.0,427.41074324895004,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,75.0,-3.1813078422328247,0.0,874.0047501762627,0.0,-2.0531321195185344,0.0,459.40540123446726,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,77.5,-2.282852231408914,0.0,783.9328369749899,0.0,-2.068340620377411,0.0,483.20087632175984,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,80.0,-1.3857602741862394,0.0,689.5159353067027,0.0,-1.7171964121008887,0.0,499.85763281270556,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,82.5,-0.5913305389648617,0.0,594.2348269434409,0.0,-1.0633334778932542,0.0,510.04614980703354,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,85.0,0.03920609705692583,0.0,500.7488412302937,0.0,-0.18844153464699434,0.0,514.1366525668703,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,87.5,0.48229506957322715,0.0,410.9821983635945,0.0,0.822297292668514,0.0,512.2471416175471,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,90.0,0.7455133444086437,0.0,326.25023991673663,0.0,1.890025198185874,0.0,504.25702090216106,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,92.5,0.8593794452778948,0.0,247.40865340152868,0.0,2.947292355316246,0.0,489.80426998758907,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,95.0,0.8691947481845285,0.0,175.01075722327397,0.0,3.9392858542386597,0.0,468.2884575668127,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,97.5,0.8277633581306106,0.0,109.46013944934597,0.0,4.822458089666054,0.0,438.9025672138203,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,100.0,0.7891936215685194,0.0,51.14793032501298,0.0,5.561870576611484,0.0,400.7152153509125,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,102.5,0.8035880548963522,0.0,0.5652365633638858,0.0,6.128471387597769,0.0,352.82155281731394,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,105.0,0.9122759852561388,0.0,-41.61846449151028,0.0,6.497352996776164,0.0,294.5747686065816,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,107.5,1.1433049931805495,0.0,-74.52072902374543,0.0,6.647800952933135,0.0,225.89861788361162,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,110.0,1.5071491626271991,0.0,-97.06592182176149,0.0,6.565593330907993,0.0,147.66273926562954,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,112.5,1.992973906993791,0.0,-108.07006723064589,0.0,6.247480469785176,0.0,62.07586837056352,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,115.0,2.566253954563857,0.0,-106.39969360514019,0.0,5.707039632117813,0.0,-26.980789429566986,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,117.49999999999999,3.168958113720836,0.0,-91.20843008624341,0.0,4.980241507410415,0.0,-113.79086338968388,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,119.99999999999999,3.7237099779651066,0.0,-62.24504307473402,0.0,4.1283197938554315,0.0,-190.94402350375395,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,122.50000000000001,4.143073528615353,0.0,-20.210273538403992,0.0,3.2352813158513167,0.0,-249.91045766675256,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,125.00000000000001,4.344179395096477,0.0,32.88322353486382,0.0,2.39805552772874,0.0,-282.1306531034574,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,127.5,4.267234936913027,0.0,93.4217151858257,0.0,1.7091209642219427,0.0,-280.5987776325719,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,130.0,3.894302139056897,0.0,156.07377186899456,0.0,1.2343071276567363,0.0,-241.75823039525847,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,132.5,3.262770001006561,0.0,213.96492285937853,0.0,0.9915963704477393,0.0,-167.3359960821394,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,135.0,2.4672519088960767,0.0,259.2527174698338,0.0,0.93883001185905,0.0,-65.5720206865292,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,137.5,1.6452805539931568,0.0,284.15831659055345,0.0,0.9777833878400061,0.0,48.76882529384442,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,140.0,0.9466274010445068,0.0,282.40432629154424,0.0,0.9781811914689187,0.0,156.09460491794417,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,142.5,0.4925562644525622,0.0,250.8564999636637,0.0,0.8182362998907025,0.0,235.5220594528238,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,145.0,0.3375240705180623,0.0,191.00344595644796,0.0,0.4302666327999532,0.0,269.7929337865736,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,147.5,0.4484877016534218,0.0,109.79416350545087,0.0,-0.1657149060116186,0.0,250.44565265564466,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,150.0,0.713286251674177,0.0,19.36012262761448,0.0,-0.857277230153134,0.0,181.6158940792927,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,152.5,0.9791731232410977,0.0,-64.66899776421612,0.0,-1.4724362093349042,0.0,80.7969200321407,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,155.0,1.1087916104083329,0.0,-126.18681440551794,0.0,-1.8441638625292869,0.0,-24.488101029670194,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,157.5,1.030217505623876,0.0,-152.43612538455935,0.0,-1.8844477238696422,0.0,-103.89081894293594,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,160.0,0.7570153180657124,0.0,-137.6846974589386,0.0,-1.6357360731278723,0.0,-133.55620085536154,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,162.5,0.36666063291124207,0.0,-85.59559275883095,0.0,-1.2705909159143602,0.0,-104.55189371370643,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,165.0,-0.052819936384063126,0.0,-9.299729684566953,0.0,-1.028832331944847,0.0,-27.12699867699314,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,167.5,-0.45837687206741473,0.0,71.26024144357353,0.0,-1.110271722031389,0.0,71.42841711668592,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,170.0,-0.8746986134354137,0.0,134.30629293197921,0.0,-1.5678356970989271,0.0,155.34446274206502,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,172.5,-1.3650623984027597,0.0,162.259508461942,0.0,-2.2553402803650484,0.0,192.78379395606353,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,175.0,-1.9624476060089227,0.0,147.0300513792908,0.0,-2.8666464318866622,0.0,167.66583363893687,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,177.5,-2.602583708842643,0.0,92.79468960173196,0.0,-3.0616638193870434,0.0,86.25904996961691,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,180.0,-3.1081805940672487,0.0,15.173505760582069,0.0,-2.627763016696198,0.0,-24.353008478732992,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,0.0,-20.29502368296792,0.0,517.5712545787894,0.0,14.76695144937844,0.0,-453.58137066160793,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,2.5,-20.719322201506092,0.0,551.679897031521,0.0,10.002870660772322,0.0,-332.3896174294389,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,5.0,-19.644517561245166,0.0,530.6457961764124,0.0,2.874420145363735,0.0,-150.10186473013215,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,7.499999999999999,-17.34484566058756,0.0,465.53199506200735,0.0,-7.194127695387043,0.0,89.12836045486843,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,10.0,-13.448996874210323,0.0,366.21516475867116,0.0,-19.749377056324878,0.0,361.5773435866258,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,12.5,-7.255832806928809,0.0,239.69003972395925,0.0,-33.006526756759236,0.0,625.6849173561521,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,14.999999999999998,1.7134208627329626,0.0,90.62318404699255,0.0,-44.13213813907483,0.0,831.0180701186415,0.0
