ground_x [mm],ground_y [mm],ground_t [mm],height [mm],top_w [mm],base_w [mm],neck_w [mm],shoulder_h [mm],feed_gap [mm],blade_t [mm],separation [mm],Freq [GHz],Phi [deg],Theta [deg],im(rEPhi) (Real) [mV],im(rEPhi) (Imag) [mV],im(rETheta) (Real) [mV],im(rETheta) (Imag) [mV],re(rEPhi) (Real) [mV],re(rEPhi) (Imag) [mV],re(rETheta) (Real) [mV],re(rETheta) (Imag) [mV]
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,0.0,-1.1722827293236,0.0,-521.1111071825035,0.0,0.4505570587238217,0.0,457.4542313221257,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,2.5,-0.6592849366913074,0.0,-422.0490908268909,0.0,1.0488223250857964,0.0,529.2405094261064,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,5.0,0.04546659703516531,0.0,-257.6272313660423,0.0,1.2361070258200546,0.0,562.1730006759393,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,7.499999999999999,0.706391720667679,0.0,-38.78346712589645,0.0,0.9191094043791842,0.0,564.2535355671815,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,10.0,1.1045569317279513,0.0,210.50633721396005,0.0,0.14932890149991357,0.0,533.1241080559709,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,12.5,1.1164933682410172,0.0,455.5413081085956,0.0,-0.8794095136210739,0.0,457.3528792718496,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,14.999999999999998,0.7552944021052971,0.0,656.6849068521158,0.0,-1.8827699686644188,0.0,323.43852768563266,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,17.5,0.15495956363451024,0.0,777.3052476353096,0.0,-2.567979528945191,0.0,125.30455920916997,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,20.0,-0.49354207079859574,0.0,791.7820492784424,0.0,-2.717639057519566,0.0,-127.93881271703216,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,22.5,-1.0229738294796724,0.0,691.4095648536864,0.0,-2.2492977073023113,0.0,-409.3662633005026,0.0
