scenario,speed_kmph,distance_m,num_ues,eff_loss_db,throughput_mbps,pdr,tx_pkts,rx_pkts,mean_lat_ms,p50_lat_ms,p95_lat_ms,jain_fairness,used_run
repeater,300,500,10,5,81.59232,0.996664,14990,14940,4.861568,4.846173,5.010263,1.0,40
repeater,300,500,20,5,163.18464,0.996664,29980,29880,4.868261,4.846173,5.010263,1.0,41
repeater,300,500,30,5,244.782421,0.996687,44970,44821,4.860947,4.839951,5.009531,1.0,42
repeater,300,500,40,5,326.380203,0.996698,59960,59762,5.048176,4.848247,6.685987,1.0,43
repeater,300,500,50,5,346.324992,0.846084,74950,63414,14.757005,14.880455,15.931451,0.979509,10
